"decay_chain";"isotope";"occurrence";"occurrence_error";"post_radon";"half_life";"half_life_error";"energy";"energy_error";"gamma_intensity";"gamma_intensity_error"
"40-K";"40-K";100;0;0;0;0;1460,82;0,005;10,66;0,13
"232-Th";"232-Th";100;0;0;55,6;0,1;63,81;0,01;0,263;0,013
"232-Th";"232-Th";100;0;0;55,6;0,1;140,88;0,01;0,021;0,004
"232-Th";"228-Ra";100;0;0;55,6;0,1;0;0;0;0
"232-Th";"228-Ac";100;0;0;55,6;0,1;56,96;0,05;0,019;0,004
"232-Th";"228-Ac";100;0;0;55,6;0,1;57,766;0,005;0,47;0,03
"232-Th";"228-Ac";100;0;0;55,6;0,1;77,34;0,03;0,026;0,005
"232-Th";"228-Ac";100;0;0;55,6;0,1;99,509;0,006;1,26;0,07
"232-Th";"228-Ac";100;0;0;55,6;0,1;100,41;0,03;0,093;0,013
"232-Th";"228-Ac";100;0;0;55,6;0,1;114,56;0,07;0,0098;0,0021
"232-Th";"228-Ac";100;0;0;55,6;0,1;129,065;0,001;2,42;0,09
"232-Th";"228-Ac";100;0;0;55,6;0,1;135,54;0,05;0,018;0,004
"232-Th";"228-Ac";100;0;0;55,6;0,1;137,91;0,05;0,024;0,005
"232-Th";"228-Ac";100;0;0;55,6;0,1;141,02;0,03;0,05;0,008
"232-Th";"228-Ac";100;0;0;55,6;0,1;145,849;0,01;0,158;0,008
"232-Th";"228-Ac";100;0;0;55,6;0,1;153,977;0,01;0,722;0,021
"232-Th";"228-Ac";100;0;0;55,6;0,1;168,65;0,1;0,01;0,003
"232-Th";"228-Ac";100;0;0;55,6;0,1;168,65;0,1;0,003;0,0007
"232-Th";"228-Ac";100;0;0;55,6;0,1;173,964;0,013;0,035;0,005
"232-Th";"228-Ac";100;0;0;55,6;0,1;184,54;0,02;0,07;0,008
"232-Th";"228-Ac";100;0;0;55,6;0,1;191,353;0,01;0,123;0,008
"232-Th";"228-Ac";100;0;0;55,6;0,1;199,407;0,01;0,315;0,005
"232-Th";"228-Ac";100;0;0;55,6;0,1;204,026;0,01;0,112;0,015
"232-Th";"228-Ac";100;0;0;55,6;0,1;209,253;0,006;3,89;0,07
"232-Th";"228-Ac";100;0;0;55,6;0,1;214,85;0,1;0,029;0,004
"232-Th";"228-Ac";100;0;0;55,6;0,1;214,85;0,05;0,76;0,11
"232-Th";"228-Ac";100;0;0;55,6;0,1;223,85;0,1;0,054;0,005
"232-Th";"228-Ac";100;0;0;55,6;0,1;231,42;0,1;0,025;0,004
"232-Th";"228-Ac";100;0;0;55,6;0,1;257,52;0,1;0,03;0,003
"232-Th";"228-Ac";100;0;0;55,6;0,1;263,58;0,1;0,04;0,004
"232-Th";"228-Ac";100;0;0;55,6;0,1;270,245;0,002;3,46;0,06
"232-Th";"228-Ac";100;0;0;55,6;0,1;278,95;0,05;0,031;0,005
"232-Th";"228-Ac";100;0;0;55,6;0,1;278,95;0,05;0,16;0,021
"232-Th";"228-Ac";100;0;0;55,6;0,1;282;0,03;0,072;0,019
"232-Th";"228-Ac";100;0;0;55,6;0,1;321,646;0,008;0,226;0,011
"232-Th";"228-Ac";100;0;0;55,6;0,1;326,04;0,2;0,033;0,005
"232-Th";"228-Ac";100;0;0;55,6;0,1;327,44;0;0,12;0,04
"232-Th";"228-Ac";100;0;0;55,6;0,1;328;0,006;2,95;0,12
"232-Th";"228-Ac";100;0;0;55,6;0,1;332,37;0,004;0,4;0,04
"232-Th";"228-Ac";100;0;0;55,6;0,1;338,32;0,003;11,27;0,19
"232-Th";"228-Ac";100;0;0;55,6;0,1;340,96;0,05;0,369;0,021
"232-Th";"228-Ac";100;0;0;55,6;0,1;356,94;0,1;0,017;0,0018
"232-Th";"228-Ac";100;0;0;55,6;0,1;372,57;0,2;0,0067;0,0015
"232-Th";"228-Ac";100;0;0;55,6;0,1;377,99;0,1;0,025;0,003
"232-Th";"228-Ac";100;0;0;55,6;0,1;384,63;0,2;0,0067;0,0015
"232-Th";"228-Ac";100;0;0;55,6;0,1;389,12;0,15;0,0103;0,0015
"232-Th";"228-Ac";100;0;0;55,6;0,1;397,94;0,1;0,027;0,003
"232-Th";"228-Ac";100;0;0;55,6;0,1;399,62;0,1;0,029;0,003
"232-Th";"228-Ac";100;0;0;55,6;0,1;409,462;0,006;1,92;0,04
"232-Th";"228-Ac";100;0;0;55,6;0,1;416,3;0,2;0,0132;0,0021
"232-Th";"228-Ac";100;0;0;55,6;0,1;419,42;0,1;0,021;0,003
"232-Th";"228-Ac";100;0;0;55,6;0,1;440,44;0,05;0,121;0,008
"232-Th";"228-Ac";100;0;0;55,6;0,1;449,15;0,05;0,048;0,005
"232-Th";"228-Ac";100;0;0;55,6;0,1;452,47;0,1;0,015;0,005
