decay_chain;isotope;occurrence;occurrence_error;post_radon;half_life;half_life_error;energy;energy_error;gamma_intensity;gamma_intensity_error
La138;138-La;100;0;0;0;0;1435,795;0;16,8145;0
La138;138-La;100;0;0;0;0;1439,795;0;1,07654878652798;0
La138;138-La;100;0;0;0;0;1440,795;0;1,97894997523527;0
La138;138-La;100;0;0;0;0;1441,795;0;0,94000123823675;0
La138;138-La;100;0;0;0;0;1467,611;0;10,64;0
La138;138-La;100;0;0;0;0;1467,988;0;19,61;0
La138;138-La;100;0;0;0;0;1471,795;0;3,17674157303372;0
La138;138-La;100;0;0;0;0;1472,795;0;2,59325842696628;0
La138;138-La;100;0;0;0;0;1471,795;0;1,35288718929253;0
La138;138-La;100;0;0;0;0;1472,795;0;5,86711281070747;0
La138;138-La;100;0;0;0;0;1473,05;0;1,45;0
La139;138-La;100;0;0;0;0;788,742;0;0,181727955246048;0
La140;138-La;100;0;0;0;0;789,542;0;0,181580729778156;0
La141;138-La;100;0;0;0;0;790,342;0;0,181423954550184;0
La142;138-La;100;0;0;0;0;791,142;0;0,181258425375473;0
La143;138-La;100;0;0;0;0;791,942;0;0,181084142254022;0
La144;138-La;100;0;0;0;0;792,742;0;0,180901105185832;0
La145;138-La;100;0;0;0;0;793,542;0;0,180709314170902;0
La146;138-La;100;0;0;0;0;794,342;0;0,180508769209233;0
La147;138-La;100;0;0;0;0;795,142;0;0,180301061927504;0
La148;138-La;100;0;0;0;0;795,942;0;0,180084600699035;0
La149;138-La;100;0;0;0;0;796,742;0;0,179860977150507;0
La150;138-La;100;0;0;0;0;797,542;0;0,179628599655239;0
La151;138-La;100;0;0;0;0;798,342;0;0,179389855653252;0
La152;138-La;100;0;0;0;0;798,742;0;0,179267300398899;0
La153;138-La;100;0;0;0;0;799,542;0;0,179017415010152;0
La154;138-La;100;0;0;0;0;800,342;0;0,178761163114685;0
La155;138-La;100;0;0;0;0;801,142;0;0,178496953085819;0
La156;138-La;100;0;0;0;0;801,942;0;0,178226376550234;0
La157;138-La;100;0;0;0;0;802,742;0;0,177949433507929;0
La158;138-La;100;0;0;0;0;803,542;0;0,177666123958904;0
La159;138-La;100;0;0;0;0;804,342;0;0,177376447903159;0
La160;138-La;100;0;0;0;0;805,142;0;0,177081996967375;0
La161;138-La;100;0;0;0;0;805,942;0;0,176780383711531;0
La162;138-La;100;0;0;0;0;806,742;0;0,176473199762307;0
La163;138-La;100;0;0;0;0;807,542;0;0,176161240933044;0
La164;138-La;100;0;0;0;0;808,342;0;0,17584450722374;0
La165;138-La;100;0;0;0;0;809,142;0;0,175521407007718;0
La166;138-La;100;0;0;0;0;809,942;0;0,175194327724995;0
La167;138-La;100;0;0;0;0;810,742;0;0,174861677748893;0
La168;138-La;100;0;0;0;0;811,542;0;0,17452504870609;0
La169;138-La;100;0;0;0;0;812,342;0;0,174183644783249;0
La170;138-La;100;0;0;0;0;813,142;0;0,173837465980367;0
La171;138-La;100;0;0;0;0;813,942;0;0,173487308110786;0
La172;138-La;100;0;0;0;0;814,742;0;0,173133171174504;0
La173;138-La;100;0;0;0;0;815,542;0;0,172775850984863;0
La174;138-La;100;0;0;0;0;816,342;0;0,172413755915183;0
La175;138-La;100;0;0;0;0;817,142;0;0,172048477592142;0
La176;138-La;100;0;0;0;0;817,942;0;0,171680016015742;0
La177;138-La;100;0;0;0;0;818,742;0;0,171306779559301;0
La178;138-La;100;0;0;0;0;819,542;0;0,170931155662841;0
La179;138-La;100;0;0;0;0;820,342;0;0,170553144326361;0
La180;138-La;100;0;0;0;0;821,142;0;0,170171949736522;0
La181;138-La;100;0;0;0;0;821,942;0;0,169786776079982;0
La182;138-La;100;0;0;0;0;822,742;0;0,169399214983423;0
La183;138-La;100;0;0;0;0;823,542;0;0,169009266446843;0
La184;138-La;100;0;0;0;0;824,342;0;0,168616930470244;0
La185;138-La;100;0;0;0;0;825,142;0;0,168222207053625;0
La186;138-La;100;0;0;0;0;825,942;0;0,167825096196986;0
La187;138-La;100;0;0;0;0;826,742;0;0,167425597900328;0
La188;138-La;100;0;0;0;0;827,542;0;0,167023712163649;0
La189;138-La;100;0;0;0;0;828,342;0;0,16662023480029;0
La190;138-La;100;0;0;0;0;829,142;0;0,166215165810252;0
La191;138-La;100;0;0;0;0;829,942;0;0,165807709380193;0
La192;138-La;100;0;0;0;0;830,742;0;0,165398661323455;0
La193;138-La;100;0;0;0;0;831,542;0;0,164987225826697;0
La194;138-La;100;0;0;0;0;832,342;0;0,164574994516599;0
La195;138-La;100;0;0;0;0;833,142;0;0,164161171579821;0
La196;138-La;100;0;0;0;0;833,942;0;0,163745757016363;0
La197;138-La;100;0;0;0;0;834,742;0;0,163328750826225;0
La198;138-La;100;0;0;0;0;835,542;0;0,162910948822747;0
La199;138-La;100;0;0;0;0;836,342;0;0,16249235100593;0
La200;138-La;100;0;0;0;0;837,142;0;0,162072161562432;0
La201;138-La;100;0;0;0;0;837,942;0;0,161650380492254;0
La202;138-La;100;0;0;0;0;838,742;0;0,161228599422077;0
La203;138-La;100;0;0;0;0;839,542;0;0,160805226725219;0
La204;138-La;100;0;0;0;0;840,342;0;0,160381058215022;0
La205;138-La;100;0;0;0;0;841,142;0;0,159956093891484;0
La206;138-La;100;0;0;0;0;841,942;0;0,159531129567947;0
La207;138-La;100;0;0;0;0;842,742;0;0,159104573617729;0
La208;138-La;100;0;0;0;0;843,542;0;0,158678017667512;0
La209;138-La;100;0;0;0;0;844,342;0;0,158249870090615;0
La210;138-La;100;0;0;0;0;845,142;0;0,157821722513718;0
La211;138-La;100;0;0;0;0;845,942;0;0,15739357493682;0
La212;138-La;100;0;0;0;0;846,742;0;0,156964631546583;0
La213;138-La;100;0;0;0;0;847,542;0;0,156534892343006;0
La214;138-La;100;0;0;0;0;848,342;0;0,156105153139429;0
La215;138-La;100;0;0;0;0;849,142;0;0,155675413935852;0
La216;138-La;100;0;0;0;0;849,942;0;0,155245674732274;0
